                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    125,                 0.6351,                0.37942,                 0.9829,                0.92007,                0.93837,                0.96435,                 0.7966,                0.68002,                0.37619,                0.96534,              0.0010258,              0.0010258,              0.0010258
                    126,                0.64453,                0.39668,                0.98729,                0.90439,                0.94259,                0.95969,                 0.7924,                0.68995,                0.38353,                0.97089,              0.0010179,              0.0010179,              0.0010179
                    127,                0.64908,                0.38911,                0.99245,                0.89176,                0.95533,                0.95452,                0.78638,                0.68469,                0.37711,                  0.971,                0.00101,                0.00101,                0.00101
                    128,                0.63848,                0.39028,                0.98943,                0.91157,                0.95408,                0.96854,                0.79698,                 0.6804,                0.36735,                0.97105,              0.0010021,              0.0010021,              0.0010021
                    129,                0.63853,                0.39112,                0.98151,                0.91726,                0.94186,                 0.9646,                0.79487,                 0.6835,                0.37502,                0.97359,             0.00099416,             0.00099416,             0.00099416
                    130,                0.63467,                0.37659,                0.98517,                 0.9105,                0.94611,                0.96616,                0.79967,                0.67427,                0.36921,                0.96755,             0.00098624,             0.00098624,             0.00098624
                    131,                0.64715,                0.38368,                0.98609,                0.91079,                 0.9377,                 0.9639,                0.79481,                0.68525,                0.37235,                0.97454,             0.00097832,             0.00097832,             0.00097832
                    132,                0.63977,                0.37992,                0.99764,                0.89299,                0.94489,                0.96449,                0.78945,                0.70031,                0.38865,                0.98514,              0.0009704,              0.0009704,              0.0009704
                    133,                0.64084,                0.38248,                0.98889,                0.90922,                0.91963,                 0.9613,                0.79834,                0.67775,                 0.3863,                0.96356,             0.00096248,             0.00096248,             0.00096248
                    134,                 0.6302,                0.37908,                0.98653,                0.89993,                0.95522,                 0.9642,                0.79713,                0.67869,                0.37066,                0.96893,             0.00095456,             0.00095456,             0.00095456
                    135,                0.62938,                0.37225,                 0.9914,                 0.8939,                0.95408,                0.96765,                0.79887,                0.67719,                0.37386,                0.97299,             0.00094664,             0.00094664,             0.00094664
                    136,                0.62778,                0.37147,                0.98345,                0.91751,                0.92537,                0.96072,                 0.7982,                0.67918,                0.37594,                0.97276,             0.00093872,             0.00093872,             0.00093872
                    137,                0.63577,                0.37984,                0.98761,                0.90716,                0.94238,                0.96708,                 0.7978,                0.67905,                0.36955,                0.97258,              0.0009308,              0.0009308,              0.0009308
                    138,                0.63957,                0.37619,                0.99502,                0.91289,                 0.9403,                0.96606,                0.80093,                0.67192,                0.36398,                0.96831,             0.00092288,             0.00092288,             0.00092288
                    139,                0.61874,                0.35967,                0.97908,                0.91003,                0.94834,                0.96675,                0.80608,                0.67144,                0.36298,                0.97117,             0.00091496,             0.00091496,             0.00091496
                    140,                0.61561,                0.37524,                0.98366,                0.91558,                0.93387,                0.96174,                0.80767,                0.66057,                0.36949,                0.95697,             0.00090704,             0.00090704,             0.00090704
                    141,                0.62586,                0.37234,                0.98164,                  0.916,                0.94719,                0.96705,                0.80134,                0.67654,                0.35966,                0.96671,             0.00089912,             0.00089912,             0.00089912
                    142,                0.61276,                0.36343,                0.97681,                0.91171,                0.93685,                0.96123,                0.80193,                0.66565,                0.36135,                0.96617,              0.0008912,              0.0008912,              0.0008912
                    143,                 0.6192,                 0.3714,                0.97978,                0.91559,                0.92997,                0.96543,                0.80326,                0.67023,                0.36232,                0.96386,             0.00088328,             0.00088328,             0.00088328
                    144,                0.61729,                0.36999,                0.98037,                0.92646,                0.92997,                0.96691,                0.80084,                0.67326,                0.36249,                0.96142,             0.00087536,             0.00087536,             0.00087536
                    145,                0.62419,                 0.3724,                0.98608,                0.92373,                0.93111,                 0.9666,                0.79958,                0.66998,                0.36806,                0.96309,             0.00086744,             0.00086744,             0.00086744
                    146,                0.61382,                0.36238,                0.97987,                0.91725,                  0.938,                0.96721,                0.80785,                0.66007,                0.36325,                0.95755,             0.00085952,             0.00085952,             0.00085952
                    147,                0.60275,                0.36188,                0.96985,                0.92269,                0.93173,                0.96854,                0.80107,                0.66167,                0.35496,                0.95494,              0.0008516,              0.0008516,              0.0008516
                    148,                0.61615,                0.36548,                0.98405,                0.93146,                0.93341,                0.96876,                0.80339,                0.65963,                0.35411,                0.95933,             0.00084368,             0.00084368,             0.00084368
                    149,                0.60922,                0.36241,                0.97663,                0.92369,                0.94499,                 0.9666,                0.80033,                0.66514,                0.36308,                0.96665,             0.00083576,             0.00083576,             0.00083576
