% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1708350279.0310 1847 1766 7 4
1708350279.0391 1852 1770 5 4
1708350279.0477 1858 1776 6 6
1708350279.0554 1866 1783 8 7
1708350279.0621 1874 1789 8 6
1708350279.0705 1879 1794 5 5
1708350279.0790 1883 1797 4 3
1708350279.0883 1889 1803 6 6
1708350279.0941 1898 1812 9 9
1708350279.1026 1907 1819 9 7
1708350279.1109 1911 1822 4 3
1708350279.1191 1915 1826 4 4
1708350279.1274 1922 1834 7 8
1708350279.1343 1931 1842 9 8
1708350279.1422 1939 1849 8 7
1708350279.1516 1943 1852 4 3
1708350279.1586 1946 1855 3 3
1708350279.1665 1952 1862 6 7
1708350279.1752 1962 1871 10 9
1708350279.1888 1970 1878 8 7
1708350279.1918 1976 1883 6 5
1708350279.2021 1980 1887 4 4
1708350279.2061 1981 1890 1 3
1708350279.2150 1984 1894 3 4
1708350279.2233 1992 1901 8 7
1708350279.2306 2002 1909 10 8
1708350279.2381 2008 1915 6 6
1708350279.2564 2011 1920 3 5
1708350279.2582 2015 1925 4 5
1708350279.2630 2020 1931 5 6
1708350279.2713 2027 1938 7 7
1708350279.2780 2033 1941 6 3
1708350279.2864 2037 1946 4 5
1708350279.2986 2041 1954 4 8
1708350279.3029 2047 1962 6 8
1708350279.3108 2056 1968 9 6
1708350279.3193 2061 1971 5 3
1708350279.3266 2063 1976 2 5
1708350279.3351 2068 1984 5 8
1708350279.3434 2076 1992 8 8
1708350279.3597 2084 1998 8 6
1708350279.3621 2089 2003 5 5
1708350279.3673 2093 2008 4 5
1708350279.3745 2095 2013 2 5
1708350279.3828 2099 2017 4 4
1708350279.3911 2107 2024 8 7
1708350279.3990 2115 2033 8 9
1708350279.4073 2120 2040 5 7
1708350279.4157 2123 2044 3 4
1708350279.4221 2126 2047 3 3
1708350279.4300 2133 2053 7 6
1708350279.4393 2142 2061 9 8
1708350279.4468 2148 2068 6 7
1708350279.4548 2152 2072 4 4
1708350279.4632 2157 2076 5 4
1708350279.4706 2165 2083 8 7
1708350279.4786 2171 2091 6 8
1708350279.4876 2175 2096 4 5
1708350279.4940 2181 2100 6 4
1708350279.5021 2188 2107 7 7
1708350279.5107 2194 2115 6 8
1708350279.5206 2199 2121 5 6
1708350279.5262 2205 2126 6 5
1708350279.5354 2212 2132 7 6
1708350279.5427 2217 2139 5 7
1708350279.5508 2223 2147 6 8
1708350279.5603 2230 2154 7 7
1708350279.5666 2238 2159 8 5
1708350279.5746 2244 2165 6 6
1708350279.5832 2246 2172 2 7
1708350279.5902 2251 2180 5 8
1708350279.6031 2259 2186 8 6
1708350279.6072 2267 2191 8 5
1708350279.6165 2274 2197 7 6
1708350279.6225 2280 2205 6 8
1708350279.6310 2284 2213 4 8
1708350279.6390 2286 2219 2 6
1708350279.6469 2291 2224 5 5
1708350279.6553 2300 2231 9 7
1708350279.6625 2308 2239 8 8
1708350279.6706 2313 2246 5 7
1708350279.6790 2316 2251 3 5
1708350279.6870 2321 2256 5 5
1708350279.6947 2329 2264 8 8
1708350279.7031 2337 2272 8 8
1708350279.7104 2343 2279 6 7
1708350279.7201 2347 2284 4 5
1708350279.7274 2351 2288 4 4
1708350279.7343 2357 2295 6 7
1708350279.7421 2365 2302 8 7
1708350279.7516 2371 2308 6 6
1708350279.7590 2376 2314 5 6
1708350279.7693 2382 2321 6 7
1708350279.7749 2389 2328 7 7
1708350279.7821 2396 2334 7 6
1708350279.7907 2400 2338 4 4
1708350279.7991 2403 2343 3 5
1708350279.8063 2409 2351 6 8
1708350279.8142 2418 2359 9 8
1708350279.8226 2425 2364 7 5
1708350279.8308 2430 2368 5 4
1708350279.8389 2435 2374 5 6
1708350279.8472 2443 2383 8 9
1708350279.8545 2451 2390 8 7
1708350279.8623 2455 2395 4 5
1708350279.8707 2459 2399 4 4
1708350279.8788 2466 2406 7 7
1708350279.8863 2475 2414 9 8
1708350279.8952 2482 2421 7 7
1708350279.9026 2486 2426 4 5
1708350279.9123 2491 2432 5 6
1708350279.9204 2498 2438 7 6
1708350279.9262 2507 2446 9 8
1708350279.9350 2515 2454 8 8
1708350279.9435 2518 2458 3 4
1708350279.9508 2522 2462 4 4
1708350279.9588 2530 2468 8 6
1708350279.9671 2539 2476 9 8
1708350279.9746 2546 2484 7 8
1708350279.9821 2551 2490 5 6
1708350279.9915 2555 2494 4 4
