% Edge sensor logfile normalized 'log_20240315_004104.987/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1710459669.0982 42 42 48 36 43 42 40 56  0.0000
1710459669.1045 31 27 39 33 34 47 42 49  0.0000
1710459669.1125 33 40 34 24 24 20 31 24  0.0000
1710459669.1217 31 29 36 36 34 35 29 40  0.0000
1710459669.1290 26 36 34 17 24 22 32 31  0.0000
1710459669.1367 31 34 39 33 36 30 34 33  0.0000
1710459669.1454 24 40 34 34 27 30 31 47  0.0000
1710459669.1527 33 40 32 29 26 34 21 51  0.0000
1710459669.1615 51 55 56 50 41 37 42 47  0.0000
1710459669.1691 40 36 52 47 43 47 54 60  0.0000
1710459669.1767 24 29 39 40 36 37 34 27  0.0000
1710459669.1855 20 33 32 36 31 23 31 42  0.0000
1710459669.1932 22 31 39 40 34 34 34 40  0.0000
1710459669.2006 37 38 32 27 29 30 29 38  0.0000
1710459669.2091 40 34 34 38 29 32 42 47  0.0000
1710459669.2177 42 38 39 38 27 42 32 40  0.0000
1710459669.2252 35 29 34 27 20 30 31 13  0.0000
1710459669.2329 40 34 41 38 27 35 38 47  0.0000
1710459669.2416 51 45 41 40 45 44 32 45  0.0000
1710459669.2492 35 36 39 36 33 30 40 49  0.0000
1710459669.2574 33 40 43 36 38 28 29 45  0.0000
1710459669.2650 26 23 37 33 31 34 40 45  0.0000
1710459669.2726 42 45 39 33 34 34 25 38  0.0000
1710459669.2813 46 44 37 34 41 39 42 40  0.0000
1710459669.2901 42 38 30 40 34 30 23 42  0.0000
1710459669.2965 49 36 36 38 38 32 40 42  0.0000
1710459669.3047 40 42 45 34 38 39 42 40  0.0000
1710459669.3134 46 42 41 41 38 42 38 45  0.0000
1710459669.3210 37 33 34 34 31 42 36 33  0.0000
1710459669.3287 26 23 32 34 33 34 38 40  0.0000
1710459669.3375 24 22 23 12 12 22 7 31  0.0000
1710459669.3450 35 29 36 38 34 27 23 36  0.0000
1710459669.3532 53 34 37 41 36 32 43 49  0.0000
