% Edge logfile: log_20240308_171742.426/log_edge_ctrl.txt
% 1 	Time (sec)
% 2 	heading mode (edge control == 2)
% 3 	Edge 1=left, 0=right
% 4 	Edge offset (signed in m; should be less than about 0.01)
% 5 	Measured edge value (m; positive is left)
% 6 	control value (rad/sec; positive is CCV)
% 7 	limited
1709914664.8845 2 0 0.0000 0.0000 0.0000 0
1709914664.8926 2 0 0.0000 0.0000 0.0000 0
1709914664.9003 2 0 0.0000 0.0000 0.0000 0
1709914664.9083 2 0 0.0000 0.0000 0.0000 0
1709914664.9163 2 0 0.0000 0.0000 0.0000 0
1709914664.9242 2 0 0.0000 0.0000 0.0000 0
1709914664.9329 2 0 0.0000 0.0000 0.0000 0
1709914664.9409 2 0 0.0000 0.0000 0.0000 0
1709914664.9486 2 0 0.0000 0.0000 0.0000 0
1709914664.9566 2 0 0.0000 0.0000 0.0000 0
1709914664.9648 2 0 0.0000 0.0000 0.0000 0
1709914664.9724 2 0 0.0000 0.0000 0.0000 0
1709914664.9802 2 0 0.0000 0.0000 0.0000 0
1709914664.9880 2 0 0.0000 0.0000 0.0000 0
1709914664.9967 2 0 0.0000 0.0000 0.0000 0
1709914665.0048 2 0 0.0000 0.0000 0.0000 0
1709914665.0119 2 0 0.0000 0.0000 0.0000 0
1709914665.0205 2 0 0.0000 0.0000 0.0000 0
1709914665.0287 2 0 0.0000 0.0000 0.0000 0
1709914665.0364 2 0 0.0000 0.0000 0.0000 0
1709914665.0442 2 0 0.0000 0.0000 0.0000 0
1709914665.0522 2 0 0.0000 0.0000 0.0000 0
1709914665.0612 2 0 0.0000 0.0000 0.0000 0
1709914665.0689 2 0 0.0000 0.0000 0.0000 0
1709914665.0769 2 0 0.0000 0.0000 0.0000 0
1709914665.0845 2 0 0.0000 0.0000 0.0000 0
1709914665.0923 2 0 0.0000 0.0000 0.0000 0
1709914665.1003 2 0 0.0000 0.0000 0.0000 0
1709914665.1083 2 0 0.0000 0.0000 0.0000 0
1709914665.1160 2 0 0.0000 0.0000 0.0000 0
1709914665.1242 2 0 0.0000 0.0000 0.0000 0
1709914665.1338 2 0 0.0000 0.0000 0.0000 0
1709914665.1404 2 0 0.0000 0.0000 0.0000 0
1709914665.1483 2 0 0.0000 0.0000 0.0000 0
1709914665.1563 2 0 0.0000 0.0000 0.0000 0
1709914665.1641 2 0 0.0000 0.0000 0.0000 0
1709914665.1722 2 0 0.0000 0.0000 0.0000 0
1709914665.1801 2 0 0.0000 0.0000 0.0000 0
1709914665.1887 2 0 0.0000 0.0000 0.0000 0
1709914665.1965 2 0 0.0000 0.0000 0.0000 0
1709914665.2046 2 0 0.0000 0.0000 0.0000 0
1709914665.2123 2 0 0.0000 0.0000 0.0000 0
1709914665.2202 2 0 0.0000 0.0000 0.0000 0
1709914665.2282 2 0 0.0000 0.0000 0.0000 0
1709914665.2367 2 0 0.0000 0.0000 0.0000 0
1709914665.2447 2 0 0.0000 0.0000 0.0000 0
1709914665.2527 2 0 0.0000 0.0000 0.0000 0
1709914665.2604 2 0 0.0000 0.0000 0.0000 0
1709914665.2685 2 0 0.0000 0.0000 0.0000 0
1709914665.2765 2 0 0.0000 0.0000 0.0000 0
1709914665.2840 2 0 0.0000 0.0000 0.0000 0
1709914665.2919 2 0 0.0000 0.0000 0.0000 0
1709914665.2999 2 0 0.0000 0.0000 0.0000 0
1709914665.3086 2 0 0.0000 0.0000 0.0000 0
1709914665.3168 2 0 0.0000 0.0000 0.0000 0
1709914665.3239 2 0 0.0000 0.0000 0.0000 0
1709914665.3322 2 0 0.0000 0.0000 0.0000 0
1709914665.3403 2 0 0.0000 0.0000 0.0000 0
1709914665.3483 2 0 0.0000 0.0000 0.0000 0
1709914665.3560 2 0 0.0000 0.0000 0.0000 0
1709914665.3642 2 0 0.0000 0.0000 0.0000 0
1709914665.3723 2 0 0.0000 0.0000 0.0000 0
1709914665.3799 2 0 0.0000 0.0000 0.0000 0
1709914665.3887 2 0 0.0000 0.0000 0.0000 0
1709914665.3966 2 0 0.0000 0.0000 0.0000 0
1709914665.4043 2 0 0.0000 0.0000 0.0000 0
1709914665.4124 2 0 0.0000 0.0000 0.0000 0
1709914665.4214 2 0 0.0000 0.0000 0.0000 0
1709914665.4281 2 0 0.0000 0.0000 0.0000 0
1709914665.4368 2 0 0.0000 0.0000 0.0000 0
1709914665.4444 2 0 0.0000 0.0000 0.0000 0
1709914665.4521 2 0 0.0000 0.0000 0.0000 0
1709914665.4601 2 0 0.0000 0.0000 0.0000 0
1709914665.4682 2 0 0.0000 0.0000 0.0000 0
1709914665.4769 2 0 0.0000 0.0000 0.0000 0
1709914665.4846 2 0 0.0000 0.0000 0.0000 0
1709914665.4926 2 0 0.0000 0.0000 0.0000 0
1709914665.5003 2 0 0.0000 0.0000 0.0000 0
1709914665.5084 2 0 0.0000 0.0000 0.0000 0
1709914665.5164 2 0 0.0000 0.0000 0.0000 0
1709914665.5242 2 0 0.0000 0.0000 0.0000 0
1709914665.5320 2 0 0.0000 0.0000 0.0000 0
1709914665.5400 2 0 0.0000 0.0000 0.0000 0
1709914665.5489 2 0 0.0000 0.0000 0.0000 0
1709914665.5568 2 0 0.0000 0.0000 0.0000 0
1709914665.5648 2 0 0.0000 0.0000 0.0000 0
1709914665.5724 2 0 0.0000 0.0000 0.0000 0
1709914665.5803 2 0 0.0000 0.0000 0.0000 0
1709914665.5890 2 0 0.0000 0.0000 0.0000 0
1709914665.5967 2 0 0.0000 0.0000 0.0000 0
1709914665.6048 2 0 0.0000 0.0000 0.0000 0
1709914665.6128 2 0 0.0000 0.0000 0.0000 0
1709914665.6205 2 0 0.0000 0.0000 0.0000 0
1709914665.6286 2 0 0.0000 0.0000 0.0000 0
1709914665.6361 2 0 0.0000 0.0000 0.0000 0
1709914665.6447 2 0 0.0000 0.0000 0.0000 0
1709914665.6526 2 0 0.0000 0.0000 0.0000 0
1709914665.6607 2 0 0.0000 0.0000 0.0000 0
1709914665.6684 2 0 0.0000 0.0000 0.0000 0
1709914665.6764 2 0 0.0000 0.0000 0.0000 0
1709914665.6842 2 0 0.0000 0.0000 0.0000 0
1709914665.6929 2 0 0.0000 0.0000 0.0000 0
1709914665.6999 2 0 0.0000 0.0000 0.0000 0
1709914665.7080 2 0 0.0000 0.0000 0.0000 0
1709914665.7168 2 0 0.0000 0.0000 0.0000 0
1709914665.7248 2 0 0.0000 0.0000 0.0000 0
1709914665.7324 2 0 0.0000 0.0000 0.0000 0
1709914665.7400 2 0 0.0000 0.0000 0.0000 0
1709914665.7481 2 0 0.0000 0.0000 0.0000 0
1709914665.7560 2 0 0.0000 0.0000 0.0000 0
1709914665.7648 2 0 0.0000 0.0000 0.0000 0
1709914665.7729 2 0 0.0000 0.0000 0.0000 0
1709914665.7818 2 0 0.0000 0.0000 0.0000 0
1709914665.7881 2 0 0.0000 0.0000 0.0000 0
1709914665.7961 2 0 0.0000 0.0000 0.0000 0
1709914665.8041 2 0 0.0000 0.0000 0.0000 0
1709914665.8130 2 0 0.0000 0.0000 0.0000 0
1709914665.8201 2 0 0.0000 0.0000 0.0000 0
1709914665.8281 2 0 0.0000 0.0000 0.0000 0
1709914665.8364 2 0 0.0000 0.0000 0.0000 0
1709914665.8444 2 0 0.0000 0.0000 0.0000 0
1709914665.8524 2 0 0.0000 0.0000 0.0000 0
1709914665.8601 2 0 0.0000 0.0000 0.0000 0
1709914665.8681 2 0 0.0000 0.0000 0.0000 0
1709914665.8761 2 0 0.0000 0.0000 0.0000 0
1709914665.8845 2 0 0.0000 0.0000 0.0000 0
1709914665.8926 2 0 0.0000 0.0000 0.0000 0
1709914665.9007 2 0 0.0000 0.0000 0.0000 0
1709914665.9083 2 0 0.0000 0.0000 0.0000 0
1709914665.9163 2 0 0.0000 0.0000 0.0000 0
1709914665.9244 2 0 0.0000 0.0000 0.0000 0
1709914665.9329 2 0 0.0000 0.0000 0.0000 0
1709914665.9401 2 0 0.0000 0.0000 0.0000 0
1709914665.9480 2 0 0.0000 0.0000 0.0000 0
1709914665.9567 2 0 0.0000 0.0000 0.0000 0
1709914665.9646 2 0 0.0000 0.0000 0.0000 0
1709914665.9726 2 0 0.0000 0.0000 0.0000 0
1709914665.9803 2 0 0.0000 0.0000 0.0000 0
1709914665.9888 2 0 0.0000 0.0000 0.0000 0
1709914665.9963 2 0 0.0000 0.0000 0.0000 0
1709914666.0041 2 0 0.0000 0.0000 0.0000 0
1709914666.0123 2 0 0.0000 0.0000 0.0000 0
1709914666.0204 2 0 0.0000 0.0000 0.0000 0
1709914666.0282 2 0 0.0000 0.0000 0.0000 0
1709914666.0361 2 0 0.0000 0.0000 0.0000 0
1709914666.0443 2 0 0.0000 0.0000 0.0000 0
1709914666.0521 2 0 0.0000 0.0000 0.0000 0
1709914666.0603 2 0 0.0000 0.0000 0.0000 0
1709914666.0685 2 0 0.0000 0.0000 0.0000 0
1709914666.0764 2 0 0.0000 0.0000 0.0000 0
1709914666.0845 2 0 0.0000 0.0000 0.0000 0
1709914666.0928 2 0 0.0000 0.0000 0.0000 0
1709914666.1005 2 0 0.0000 0.0000 0.0000 0
1709914666.1088 2 0 0.0000 0.0000 0.0000 0
1709914666.1159 2 0 0.0000 0.0000 0.0000 0
1709914666.1247 2 0 0.0000 0.0000 0.0000 0
1709914666.1333 2 0 0.0000 0.0000 0.0000 0
1709914666.1412 2 0 0.0000 0.0000 0.0000 0
1709914666.1489 2 0 0.0000 0.0000 0.0000 0
