% Edge sensor logfile normalized 'log_20240224_141234.319/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1708780357.9223 31 34 23 31 36 312 712 972  0.0177
1708780357.9306 22 29 43 43 45 297 730 1000  0.0183
1708780357.9383 26 29 25 24 26 207 529 841  0.0077
1708780357.9458 22 20 34 34 41 187 554 900  0.0099
1708780357.9546 37 29 37 34 41 178 589 1000  0.0125
1708780357.9622 35 20 36 24 33 142 490 860  0.0074
1708780357.9699 6 14 19 20 15 91 393 733  0.0017
1708780357.9788 33 38 39 27 34 98 423 808  0.0048
1708780357.9864 55 55 30 47 52 120 463 925  0.0083
1708780357.9947 20 36 32 8 15 57 300 616  0.0000
1708780358.0033 33 34 27 20 29 64 293 654  0.0000
1708780358.0102 46 33 41 19 33 62 311 742  0.0017
1708780358.0183 15 14 19 17 22 30 179 399  0.0000
1708780358.0262 24 22 27 17 13 23 155 426  0.0000
1708780358.0338 37 22 37 34 22 49 161 573  0.0000
1708780358.0425 6 14 21 8 20 10 80 286  0.0000
1708780358.0510 44 47 32 36 31 35 73 331  0.0000
1708780358.0587 35 40 47 45 46 51 109 437  0.0000
1708780358.0665 17 23 19 15 26 13 32 162  0.0000
1708780358.0743 31 23 21 19 22 23 23 158  0.0000
1708780358.0818 42 29 30 31 26 37 47 275  0.0000
1708780358.0906 4 14 21 22 13 15 12 54  0.0000
1708780358.0991 35 27 28 3 17 27 29 88  0.0000
1708780358.1058 42 36 30 22 33 35 60 187  0.0000
1708780358.1150 6 25 30 29 12 17 27 4  0.0000
1708780358.1228 37 38 34 31 24 27 38 60  0.0000
1708780358.1304 49 44 52 57 43 54 71 124  0.0000
1708780358.1382 31 23 27 17 19 23 31 13  0.0000
1708780358.1469 20 27 23 20 24 10 29 22  0.0000
1708780358.1540 40 49 37 36 34 35 49 101  0.0000
1708780358.1618 17 31 27 27 27 22 36 67  0.0000
1708780358.1708 4 23 19 13 17 15 25 4  0.0000
1708780358.1785 29 23 32 31 19 22 36 67  0.0000
1708780358.1866 11 25 28 17 26 28 36 76  0.0000
1708780358.1952 15 29 21 17 29 25 27 4  0.0000
1708780358.2017 40 25 27 36 31 22 45 33  0.0000
1708780358.2106 40 36 32 47 36 45 54 76  0.0000
1708780358.2184 4 5 12 20 15 11 27 4  0.0000
1708780358.2257 33 27 45 34 27 25 36 18  0.0000
1708780358.2346 42 34 36 26 36 49 53 45  0.0000
1708780358.2424 20 25 28 33 24 22 42 9  0.0000
1708780358.2507 29 25 28 29 31 32 42 15  0.0000
1708780358.2585 26 27 30 19 19 39 43 54  0.0000
1708780358.2661 2 16 23 20 15 30 36 4  0.0000
1708780358.2737 44 40 39 33 27 39 42 22  0.0000
1708780358.2825 37 36 32 31 33 37 43 49  0.0000
1708780358.2903 0 18 23 31 20 10 31 36  0.0000
1708780358.2985 31 27 18 15 26 30 31 15  0.0000
1708780358.3063 29 29 28 38 43 37 38 58  0.0000
1708780358.3154 4 18 16 8 19 20 18 6  0.0000
1708780358.3220 29 23 32 29 19 17 29 31  0.0000
1708780358.3299 37 29 28 33 20 39 31 47  0.0000
1708780358.3387 15 23 21 20 17 23 25 6  0.0000
1708780358.3459 66 42 43 24 20 32 34 20  0.0000
1708780358.3546 53 49 41 48 41 56 54 76  0.0000
1708780358.3624 29 31 34 17 13 34 36 22  0.0000
1708780358.3700 15 25 21 17 22 27 12 11  0.0000
1708780358.3785 24 27 36 26 20 13 18 22  0.0000
1708780358.3862 33 40 30 26 26 35 27 42  0.0000
1708780358.3950 0 27 27 13 12 6 1 9  0.0000
1708780358.4021 24 27 28 22 27 20 14 24  0.0000
1708780358.4115 40 33 39 31 24 27 29 45  0.0000
1708780358.4181 24 29 32 34 20 25 20 22  0.0000
1708780358.4258 37 42 48 36 36 39 45 38  0.0000
1708780358.4347 51 40 37 34 31 32 31 51  0.0000
